Subject,Start Date,Start Time,End Time,Description,Location
Introductory Physics II Lab-LAB,01/19/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,01/26/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/02/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/09/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/16/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/23/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/02/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/09/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/16/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/23/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/30/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/06/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/13/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/20/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
